stockid,stockname,date,asset,asset,equity,eta
601166.SH,兴业银行,20140331,379314500,19.75387623,21743400,0.057322881
601166.SH,兴业银行,20131231,367743500,19.72289624,20117100,0.054704162
601166.SH,兴业银行,20130930,363365000,19.7109184,19581000,0.053887964
601166.SH,兴业银行,20130630,357727800,19.69528292,18556000,0.051871842
601166.SH,兴业银行,20130331,346961100,19.66472323,18246200,0.052588604
601166.SH,兴业银行,20121231,325097500,19.5996357,17063500,0.052487331
601166.SH,兴业银行,20120930,296468600,19.50745187,13887900,0.046844421
601166.SH,兴业银行,20120630,278045100,19.44329389,13065700,0.046991297
601166.SH,兴业银行,20120331,262939800,19.38743567,12486000,0.047486155
601166.SH,兴业银行,20111231,240879800,19.29980861,11607800,0.04818918
601166.SH,兴业银行,20110930,209210900,19.15885339,10728400,0.051280311
601166.SH,兴业银行,20110630,208990600,19.15779983,10157400,0.048602186
601166.SH,兴业银行,20110331,191699042.8,19.07143721,9749104.75,0.050856304
601166.SH,兴业银行,20101231,184967337.9,19.03568982,9199528.73,0.049735963
601166.SH,兴业银行,20100930,181026723.7,19.01415522,8890740.45,0.049112862
601166.SH,兴业银行,20100630,171480374.5,18.95997938,8392148.61,0.048939411
601166.SH,兴业银行,20100331,149406971.9,18.8221845,6170851.1,0.041302297
601166.SH,兴业银行,20091231,133216155.2,18.70748359,5959746.16,0.044737413
601166.SH,兴业银行,20090930,126631161.5,18.65678918,5584778.86,0.044102722
601166.SH,兴业银行,20090630,121363497,18.61430071,5309119.82,0.043745607
601166.SH,兴业银行,20090331,109723676.2,18.51347573,5199214.61,0.047384619
601166.SH,兴业银行,20081231,102089882.5,18.44136418,4902204.61,0.048018516
601166.SH,兴业银行,20080930,92531262.65,18.34305712,4668827.58,0.050456759
601166.SH,兴业银行,20080630,91696390.57,18.33399358,4388205.18,0.047855811
601166.SH,兴业银行,20080331,86616962.79,18.27700623,4202008.41,0.048512535
601166.SH,兴业银行,20071231,85133527,18.25973149,3889707.69,0.045689493
601166.SH,兴业银行,20070930,85761510.47,18.26708087,3699641.52,0.043138717
601166.SH,兴业银行,20070630,81555498.47,18.21679431,3461615.21,0.042444903
601166.SH,兴业银行,20070331,71142663.15,18.08019776,3312072.95,0.046555369
601166.SH,兴业银行,20061231,61770434.24,17.9389354,1619966.71,0.0262256
601166.SH,兴业银行,20060630,53221954.52,17.78998155,1414031.22,0.02656857
